name,country,carnegie_tier,csranking_nlp_rank,csranking_nlp_score,verified_fit,faculty,fit_note,composite_score
Carnegie Mellon University,USA,R1,5,148.38781,True,Graham Neubig,"2026 paper ""Round-Trip Translation Reveals What Frontier Multilingual Benchmarks Miss"", LTI",100.0
Stanford University,USA,R1,6,138.711625,True,Percy Liang,"Created HELM, the reference framework for rigorous LLM benchmarking, CRFM",86.08507597876235
Johns Hopkins University,USA,R1,7,127.905149,True,"Philipp Koehn, Kevin Duh","Historical home of MT evaluation research (WMT organizers), CLSP",81.71284327782413
University of Washington-Seattle Campus,USA,R1,8,124.786895,True,Yulia Tsvetkov,"Inclusive language technologies, methodological bias in low-resource NLP",80.45121718356071
University of Illinois Urbana-Champaign,USA,R1,12,100.5013,True,Heng Ji,"2025 ACL Fellow for multimodal/multilingual knowledge extraction; low-resource language knowledge representation, BLENDER Lab",75.6254171150886
University of Maryland - College Park,USA,R1,13,98.595453,True,Marine Carpuat,"2025 work reframes MT evaluation around fitness-for-purpose, not system-centric metrics. Mohit Iyyer's lab also moved here from UMass Amherst (Jan 2025).",69.85432332129449
Columbia University in the City of New York,USA,R1,32,60.601774,True,Smaranda Muresan,"Code-switching and low-resource multilingual processing; co-authored CS-FLEURS, MaskLID",59.48231807622197
University of Michigan-Ann Arbor,USA,R1,20,77.210474,True,Rada Mihalcea,"2025 ACL Fellow for NLP for social good; long-standing program extending NLP tools to underserved languages, AI Lab",56.202094371479824
University of California-San Diego,USA,R1,29,63.265427,True,Ndapa Nakashole,"NSF CAREER awardee for low-resource-language work — KB acquisition, entity linking, QA, MT for low-resource languages",55.56001544496199
University of Melbourne,Australia,,42,47.565780000000004,True,Jey Han Lau,"LLM/NLG evaluation + low-resource languages, primarily based at Melbourne",54.208036316281486
University of California-Los Angeles,USA,R1,33,59.58925,True,Nanyun (Violet) Peng,"Low-resource IE; ""The Zeno's Paradox of 'Low-Resource' Languages"", PlusLab",54.07265718924228
University of Southern California,USA,R1,38,50.794005,True,"Jonathan May, Xuezhe Ma","May is PI on DARPA ""MT for Indo-Pacific Low Resource Languages""; gave invited talk on evaluation methodology, ISI",50.51415599035343
University of Notre Dame,USA,R1,79,29.955229,True,David Chiang,"Co-authored ""Languages still left behind: toward a better multilingual MT benchmark"" (EMNLP 2025)",47.08291736318886
Monash University,Australia,,55,38.747159,True,Reza Haffari,"Strongest verified fit overall — actively recruiting for ""NMT for Low-Resource Languages""",45.64007733378056
University of Waterloo,Canada,,56,37.747307,True,Jimmy Lin,"Strongest pure benchmark-methodology fit in Canada (FreshStack, benchmark temporal drift)",45.23554345886163
Australian National University,Australia,,156,11.7516,True,—,Kept as backup — no faculty found with a clear low-resource/multilingual-evaluation line,44.71784275519014
Georgia Institute of Technology-Main Campus,USA,R1,63,36.211006,True,Wei Xu,Created LENS (learnable eval metric); 2025 paper on evaluator reliability under imperfect benchmarks,44.613965668776856
Ohio State University-Main Campus,USA,R1,94,23.12103,True,Huan Sun,"Leads TrustLLM and AttributionBench — LLM evaluation methodology, though not multilingual-specific (weakest-angle inclusion)",44.31784312876505
University of Alberta,Canada,,77,30.838329,True,Grzegorz Kondrak,Real but weaker fit — classical computational linguistics more than benchmark methodology,42.44021410804802
Macquarie University,Australia,,51,42.70698,True,Mark Dras,"""Myanmar XNLI"" — nearly identical project shape to this project",42.24219618048525
McGill University,Canada,,85,26.965788,True,Siva Reddy,"Multilingual/minority-language RAG, culturally-grounded understanding, Mila",40.8734082042618
Simon Fraser University,Canada,,108,20.04911,True,Anoop Sarkar,"Low-resource MT for Kokborok, Tetun — strong, confirmed fit",38.07496348153627
Cornell University,USA,R1,15,90.788278,False,,,36.6955890737056
University of California-Berkeley,USA,R1,16,90.231808,False,,,36.470444786975015
University of California-Irvine,USA,R1,125,15.666689,True,Sameer Singh,"Evaluator-reliability work (""When Scanners Lie"", ""Lost in Simulation"") — strong eval-methodology fit, not multilingual-specific",36.30186331405537
George Mason University,USA,R1,95,22.981556,True,Antonios Anastasopoulos,"Runs ""NLP Beyond the Top-100 Languages"" — closest direct match found",34.26141281940882
RMIT University,Australia,,175,9.70115,True,Karin Verspoor,"Evaluation-methodology track record, but biomedical domain — secondary fit",33.88824349067146
University of Pennsylvania,USA,R1,18,81.400024,False,,,32.89716013687974
New York University,USA,R1,23,70.657032,False,,,28.550612665870883
Massachusetts Institute of Technology,USA,R1,27,65.006733,False,,,26.264536977748445
Concordia University,Canada,,330,1.68453,True,CLaC lab,Kept as backup — general NLP focus doesn't closely match the thesis question,25.6447691041096
The University of Texas at Dallas,USA,R1,34,57.825242,False,,,23.35895056903448
University of Arizona,USA,R1,41,47.822618,False,,,19.311951367075427
University of Massachusetts-Amherst,USA,R1,43,47.105433,False,,,19.021782795043034
University of Illinois Chicago,USA,R1,48,43.073733,False,,,17.390582153837457
Pennsylvania State University-Main Campus,USA,R1,54,39.30525,False,,,15.86587746698766
The University of Texas at Austin,USA,R1,59,36.925325,False,,,14.902974675108013
University of California-Santa Barbara,USA,R1,64,35.863129,False,,,14.473216807140156
Northeastern University,USA,R1,66,35.325052,False,,,14.255514213341517
Stony Brook University,USA,R1,67,35.07303,False,,,14.153547686070661
University of Rochester,USA,R1,70,33.371768,False,,,13.465227705601212
University of Colorado Boulder,USA,R1,71,33.260903,False,,,13.420372418975901
University of Pittsburgh-Pittsburgh Campus,USA,R1,82,29.361863,False,,,11.842845185281385
University of California-Davis,USA,R1,89,25.64499,False,,,10.33902158211654
Oregon State University,USA,R1,91,24.24139,False,,,9.771133787886773
Emory University,USA,R1,93,23.124554,False,,,9.31926891715694
Arizona State University Campus Immersion,USA,R1,99,21.891282,False,,,8.820294767993838
Princeton University,USA,R1,100,21.44285,False,,,8.638861981343764
University of California-Santa Cruz,USA,R1,102,20.79157,False,,,8.375358160721106
Purdue University-Main Campus,USA,R1,105,20.59916,False,,,8.297510276361068
University of Virginia-Main Campus,USA,R1,113,18.5536,False,,,7.469889475303331
